index	Ward	Labor Force	Employment	Unemployment	Rate	Month/year
76	3	"53,997"	"53,338"	659	1.2	Apr-08
77	3	"53,782"	"52,960"	822	1.5	May-08
78	3	"54,233"	"53,349"	884	1.6	Jun-08
79	3	"55,301"	"54,351 "	951	1.7	Jul-08
80	3	"54,797"	"53,862 "	935	1.7	Aug-08
81	3	"53,991"	"53,054 "	937	1.7	Sep-08
82	3	"53,543"	"52,587"	957	1.8	Oct-08
83	3	"53,219"	"52,185"	"1,033"	1.9	Nov-08
84	3	"52,887"	"51,806"	"1,081"	2	Dec-08
85	3	"52,807"	"51,641"	"1,166"	2.2	Jan-09
86	3	"52,947"	"51,733"	"1,214"	2.3	Feb-09
87	3	"52,458"	"51,310"	"1,148"	2.2	Mar-09
88	3	"52,235"	"51,132"	"1,103"	2.1	Apr-09
89	3	"52,308"	"51,027"	"1,281"	2.4	May-09
90	3	"52,993"	"51,591"	"1,403"	2.6	Jun-09
91	3	"54,072"	"52,756 "	"1,316"	2.4	Jul-09
92	3	"52,888"	"51,514 "	"1,375"	2.6	Aug-09
93	3	"52,263"	"50,861 "	"1,403"	2.7	Sep-09
94	3	"52,419"	"50,970"	"1,449"	2.8	Oct-09
95	3	"52,726"	"51,336"	"1,390"	2.6	Nov-09
96	3	"52,682"	"51,265"	"1,418"	2.7	Dec-09
97	3	"46,549"	"44,824"	"1,725"	3.7	Jan-10
98	3	"46,759"	"45,079"	"1,680"	3.6	Feb-10
99	3	"47,027"	"45,400"	"1,627"	3.5	Mar-10
100	3	"47,557"	"46,064"	"1,493"	3.1	Apr-10
101	3	"47,791"	"46,250"	"1,541"	3.2	May-10
102	3	"48,437"	"46,761"	"1,676"	3.5	Jun-10
103	3	"48,939"	"47,261 "	"1,678"	3.4	Jul-10
104	3	"47,569"	"45,952 "	"1,617"	3.4	Aug-10
105	3	"47,399"	"45,788 "	"1,611"	3.4	Sep-10
106	3	"47,509"	"45,895"	"1,614"	3.4	Oct-10
107	3	"47,563"	"45,937"	"1,626"	3.4	Nov-10
108	3	"47,535"	"45,936"	"1,599"	3.4	Dec-10
109	3	"47,694"	"45,969"	"1,725"	3.6	Jan-11
110	3	"48,075"	"46,326"	"1,749"	3.6	Feb-11
111	3	"47,842"	"46,105"	"1,737"	3.6	Mar-11
112	3	"47,855"	"46,182"	"1,673"	3.5	Apr-11
113	3	"47,455"	"45,701"	"1,754"	3.7	May-11
114	3	"48,113"	"46,199"	"1,914"	4	Jun-11
115	3	"48,754"	"46,844 "	"1,910"	3.9	Jul-11
116	3	"47,957"	"46,120 "	"1,837"	3.8	Aug-11
117	3	"47,813"	"46,005 "	"1,808"	3.8	Sep-11
118	3	"47,814"	"46,046"	"1,768"	3.7	
119	3	"47,925"	"46,187"	"1,738"	3.6	Nov-11
120	3	"48,082"	"46,388"	"1,694"	3.5	Dec-11
121	3	"48,281"	"46,508"	"1,773"	3.7	Jan-12
122	3	"48,875"	"47,116"	"1,759"	3.6	Feb-12
123	3	"49,094"	"47,427"	"1,667"	3.4	Mar-12
124	3	"49,357"	"47,824"	"1,533"	3.1	Apr-12
125	3	"49,698"	"48,150"	"1,548"	3.1	May-12
126	3	"50,683"	"49,003"	"1,680"	3.3	Jun-12
127	3	"51,301"	"49,628 "	"1,673"	3.3	Jul-12
128	3	"50,706"	"49,056 "	"1,650"	3.3	Aug-12
129	3	"50,792"	"49,157 "	"1,635"	3.2	Sep-12
130	3	"51,433"	"49,812"	"1,621"	3.2	Oct-12
131	3	"51,594"	"49,985"	"1,609"	3.1	Nov-12
132	3	"51,571"	"49,971"	"1,600"	3.1	Dec-12
133	3	"52,871"	"49,766"	"3,105"	5.9	Jan-13
134	3	"53,091"	"50,105"	"2,986"	5.6	Feb-13
135	3	"52,823"	"50,017"	"2,806"	5.3	Mar-13
136	3	"52,879"	"50,263"	"2,616"	4.9	Apr-13
137	3	"52,822"	"50,006"	"2,816"	5.3	May-13
138	3	"53,452"	"50,311"	"3,141"	5.9	Jun-13
139	3	"53,697"	"50,747"	"2,950"	5.5	Jul-13
140	3	"52,612"	"49,778"	"2,834"	5.4	Aug-13
141	3	"52,428"	"49,606"	"2,822"	5.4	Sep-13
142	3	"52,544"	"49,779"	"2,765"	5.3	Oct-13
143	3	"52,659"	"50,212"	"2,447"	4.6	Nov-13
144	3	"52,551"	"50,262"	"2,289"	4.4	Dec-13
145	3	"52,458"	"49,866"	"2,592"	4.9	Jan-14
146	3	"52,870"	"50,150"	"2,720"	5.1	Feb-14
147	3	"52,709"	"50,149"	"2,560"	4.9	Mar-14
148	3	"52,674"	"50,457"	"2,217"	4.2	Apr-14
149	3	"52,939"	"50,522"	"2,417"	4.6	May-14
150	3	"53,885"	"51,199"	"2,686"	5	Jun-14
151	3	"54,367"	"51,724"	"2,643"	4.9	Jul-14
152	3	"53,761"	"50,996"	"2,765"	5.1	Aug-14
153	3	"54,040"	"51,307"	"2,733"	5.1	Sep-14
154	3	"54,466"	"51,847"	"2,619"	4.8	Oct-14
155	3	"54,345"	"51,874"	"2,471"	4.5	Nov-14
156	3	"54,232"	"51,797"	"2,435"	4.5	Dec-14
157	3	"54,578"	"51,843"	"2,735"	5	Jan-15
158	3	"54,910"	"52,145"	"2,765"	5	Feb-15
159	3	"54,665"	"52,133"	"2,532"	4.6	Mar-15
160	3	"54,704"	"52,407"	"2,297"	4.2	Apr-15
161	3	"54,632"	"52,262"	"2,370"	4.3	May-15
162	3	"55,499"	"52,880"	"2,619"	4.7	Jun-15
163	3	"56,087"	"53,626"	"2,461"	4.4	Jul-15
164	3	"55,349"	"52,837"	"2,512"	4.5	Aug-15
165	3	"55,191"	"52,729"	"2,462"	4.5	Sep-15
166	3	"55,635"	"53,295"	"2,340"	4.2	Oct-15
167	3	"55,631"	"53,364"	"2,267"	4.1	Nov-15
168	3	"55,598"	"53,469"	"2,129"	3.8	Dec-15
169	3	"55,650"	"53,307"	"2,343"	4.2	Jan-16
170	3	"56,213"	"53,739"	"2,474"	4.4	Feb-16
171	3	"56,091"	"53,887"	"2,204"	3.9	Mar-16
172	3	"56,143"	"54,219"	"1,924"	3.4	Apr-16
173	3	"55,780"	"53,875"	"1,905"	3.4	May-16
174	3	"56,554"	"54,163"	"2,391"	4.2	Jun-16
175	3	"56,802"	"54,531"	"2,271"	4	Jul-16
176	3	"56,051"	"53,663"	"2,388"	4.3	Aug-16
177	3	"56,093"	"53,743"	"2,350"	4.2	Sep-16
178	3	"56,569"	"54,398"	"2,171"	3.8	Oct-16
179	3	"56,588"	"54,515"	"2,073"	3.7	Nov-16
180	3	"56,325"	"54,397"	"1,928"	3.4	Dec-16
181	3	"56,942"	"54,716"	"2,226"	3.9	Jan-17
182	3	"57,373"	"54,951"	"2,422"	4.2	Feb-17
183	3	"57,019"	"54,869"	"2,150"	3.8	Mar-17
184	3	"57,149"	"55,144"	"2,005"	3.5	Apr-17
185	3	"57,574"	"55,463"	"2,111"	3.7	May-17
186	3	"58,007"	"55,540"	"2,467"	4.3	Jun-17
1	4	"39,203"	"36,961"	"2,243"	5.7	Jan-02
2	4	"39,556"	"37,240"	"2,316"	5.9	Feb-02
3	4	"39,470"	"37,359"	"2,111"	5.3	Mar-02
4	4	"39,489"	"37,569"	"1,920"	4.9	Apr-02
5	4	"39,232"	"37,173"	"2,059"	5.2	May-02
6	4	"39,994"	"37,610"	"2,384"	6	Jun-02
7	4	"40,705"	"38,417 "	"2,288"	5.6	Jul-02
8	4	"39,854"	"37,667 "	"2,187"	5.5	Aug-02
9	4	"39,296"	"37,286 "	"2,010"	5.1	Sep-02
10	4	"39,037"	"37,052"	"1,986"	5.1	Oct-02
11	4	"39,002"	"36,912"	"2,090"	5.4	Nov-02
12	4	"39,031"	"36,883"	"2,149"	5.5	Dec-02
13	4	"38,954"	"36,781"	"2,173"	5.6	Jan-03
14	4	"39,495"	"37,123"	"2,372"	6	Feb-03
15	4	"39,526"	"37,412"	"2,114"	5.3	Mar-03
16	4	"39,608"	"37,424"	"2,183"	5.5	Apr-03
17	4	"39,329"	"37,335"	"1,995"	5.1	May-03
18	4	"40,485"	"37,858"	"2,627"	6.5	Jun-03
19	4	"40,836"	"38,443 "	"2,394"	5.9	Jul-03
20	4	"40,145"	"37,615 "	"2,530"	6.3	Aug-03
21	4	"39,311"	"37,377 "	"1,935"	4.9	Sep-03
22	4	"39,863"	"37,558"	"2,305"	5.8	Oct-03
23	4	"39,580"	"37,361"	"2,219"	5.6	Nov-03
24	4	"39,099"	"37,017"	"2,081"	5.3	Dec-03
25	4	"39,420"	"37,142"	"2,278"	5.8	Jan-04
26	4	"39,913"	"37,625"	"2,287"	5.7	Feb-04
27	4	"39,999"	"37,519"	"2,481"	6.2	Mar-04
28	4	"39,870"	"37,640"	"2,230"	5.6	Apr-04
29	4	"39,614"	"37,321"	"2,292"	5.8	May-04
30	4	"40,401"	"37,828"	"2,573"	6.4	Jun-04
31	4	"41,155"	"38,347 "	"2,807"	6.8	Jul-04
32	4	"40,651"	"38,265 "	"2,387"	5.9	Aug-04
33	4	"40,300"	"37,941 "	"2,359"	5.9	Sep-04
34	4	"40,590"	"38,133"	"2,457"	6.1	Oct-04
35	4	"40,618"	"38,111"	"2,507"	6.2	Nov-04
36	4	"40,785"	"38,213"	"2,572"	6.3	Dec-04
37	4	"40,644"	"38,358"	"2,286"	5.6	Jan-05
38	4	"41,257"	"38,749"	"2,508"	6.1	Feb-05
39	4	"41,171"	"38,864"	"2,307"	5.6	Mar-05
40	4	"41,175"	"39,109"	"2,067"	5	Apr-05
41	4	"41,022"	"38,706"	"2,316"	5.6	May-05
42	4	"41,638"	"39,326"	"2,312"	5.6	Jun-05
43	4	"42,410"	"40,265 "	"2,144"	5.1	Jul-05
44	4	"41,902"	"39,852 "	"2,051"	4.9	Aug-05
45	4	"41,265"	"39,302 "	"1,963"	4.8	Sep-05
46	4	"41,239"	"39,282"	"1,957"	4.7	Oct-05
47	4	"41,089"	"39,103"	"1,986"	4.8	Nov-05
48	4	"41,214"	"39,251"	"1,963"	4.8	Dec-05
49	4	"40,965"	"39,099"	"1,867"	4.6	Jan-06
50	4	"41,336"	"39,415"	"1,921"	4.6	Feb-06
51	4	"41,224"	"39,360"	"1,864"	4.5	Mar-06
52	4	"41,040"	"39,258"	"1,782"	4.3	Apr-06
53	4	"41,387"	"39,457"	"1,930"	4.7	May-06
54	4	"42,374"	"40,367"	"2,007"	4.7	Jun-06
55	4	"42,886"	"40,714 "	"2,172"	5.1	Jul-06
56	4	"42,177"	"40,152 "	"2,025"	4.8	Aug-06
57	4	"41,627"	"39,707 "	"1,921"	4.6	Sep-06
58	4	"42,128"	"40,359"	"1,770"	4.2	Oct-06
59	4	"42,015"	"40,189"	"1,826"	4.3	Nov-06
60	4	"42,168"	"40,247"	"1,921"	4.6	Dec-06
61	4	"41,604"	"39,624"	"1,980"	4.8	Jan-07
62	4	"41,938"	"40,092"	"1,846"	4.4	Feb-07
63	4	"41,996"	"40,252"	"1,744"	4.2	Mar-07
64	4	"41,978"	"40,321"	"1,656"	3.9	Apr-07
65	4	"41,889"	"40,134"	"1,755"	4.2	May-07
66	4	"42,233"	"40,288"	"1,945"	4.6	Jun-07
67	4	"43,015"	"41,013 "	"2,002"	4.7	Jul-07
68	4	"42,421"	"40,559 "	"1,861"	4.4	Aug-07
69	4	"42,295"	"40,369 "	"1,926"	4.6	Sep-07
70	4	"42,446"	"40,667"	"1,779"	4.2	Oct-07
71	4	"42,704"	"40,826"	"1,878"	4.4	Nov-07
72	4	"42,543"	"40,678"	"1,865"	4.4	Dec-07
73	4	"42,567"	"40,430"	"2,137"	5	Jan-08
74	4	"42,693"	"40,844"	"1,849"	4.3	Feb-08
75	4	"43,021"	"40,964"	"2,056"	4.8	Mar-08
76	4	"42,904"	"41,203"	"1,700"	4	Apr-08
77	4	"43,033"	"40,911"	"2,122"	4.9	May-08
78	4	"43,494"	"41,212"	"2,283"	5.2	Jun-08
79	4	"44,439"	"41,986 "	"2,454"	5.5	Jul-08
80	4	"44,021"	"41,608 "	"2,414"	5.5	Aug-08
81	4	"43,404"	"40,984 "	"2,420"	5.6	Sep-08
82	4	"43,092"	"40,623"	"2,469"	5.7	Oct-08
83	4	"42,981"	"40,313"	"2,668"	6.2	Nov-08
84	4	"42,810"	"40,020"	"2,790"	6.5	Dec-08
85	4	"42,901"	"39,892"	"3,009"	7	Jan-09
86	4	"43,098"	"39,964"	"3,134"	7.3	Feb-09
87	4	"42,600"	"39,637"	"2,963"	7	Mar-09
88	4	"42,346"	"39,499"	"2,847"	6.7	Apr-09
89	4	"42,726"	"39,418"	"3,308"	7.7	May-09
90	4	"43,474"	"39,854"	"3,621"	8.3	Jun-09
91	4	"44,150"	"40,753 "	"3,396"	7.7	Jul-09
92	4	"43,343"	"39,794 "	"3,549"	8.2	Aug-09
93	4	"42,910"	"39,290 "	"3,620"	8.4	Sep-09
94	4	"43,114"	"39,374"	"3,739"	8.7	Oct-09
95	4	"43,245"	"39,657"	"3,589"	8.3	Nov-09
96	4	"43,261"	"39,601"	"3,660"	8.5	Dec-09
97	4	"42,008"	"37,402"	"4,606"	11	Jan-10
98	4	"42,101"	"37,615"	"4,486"	10.7	Feb-10
99	4	"42,229"	"37,883"	"4,346"	10.3	Mar-10
100	4	"42,425"	"38,437"	"3,988"	9.4	Apr-10
101	4	"42,710"	"38,593"	"4,117"	9.6	May-10
102	4	"43,495"	"39,019"	"4,476"	10.3	Jun-10
103	4	"43,918"	"39,436 "	"4,482"	10.2	Jul-10
104	4	"42,662"	"38,343 "	"4,319"	10.1	Aug-10
105	4	"42,510"	"38,207 "	"4,303"	10.1	Sep-10
106	4	"42,608"	"38,296"	"4,312"	10.1	Oct-10
107	4	"42,675"	"38,331"	"4,344"	10.2	Nov-10
108	4	"42,601"	"38,331"	"4,270"	10	Dec-10
109	4	"42,967"	"38,358"	"4,609"	10.7	Jan-11
110	4	"43,328"	"38,656"	"4,672"	10.8	Feb-11
111	4	"43,110"	"38,471"	"4,639"	10.8	Mar-11
112	4	"43,004"	"38,535"	"4,469"	10.4	Apr-11
113	4	"42,820"	"38,134"	"4,686"	10.9	May-11
114	4	"43,664"	"38,550"	"5,114"	11.7	Jun-11
115	4	"44,191"	"39,088 "	"5,103"	11.5	Jul-11
116	4	"43,392"	"38,484 "	"4,908"	11.3	Aug-11
117	4	"43,219"	"38,388 "	"4,831"	11.2	Sep-11
118	4	"43,146"	"38,423"	"4,723"	10.9	
119	4	"43,184"	"38,540"	"4,644"	10.8	Nov-11
120	4	"43,232"	"38,707"	"4,525"	10.5	Dec-11
121	4	"43,542"	"38,807"	"4,735"	10.9	Jan-12
122	4	"44,012"	"39,314"	"4,698"	10.7	Feb-12
123	4	"44,026"	"39,573"	"4,453"	10.1	Mar-12
124	4	"43,999"	"39,904"	"4,095"	9.3	Apr-12
125	4	"44,312"	"40,176"	"4,136"	9.3	May-12
126	4	"45,376"	"40,888"	"4,488"	9.9	Jun-12
127	4	"45,880"	"41,410 "	"4,470"	9.7	Jul-12
128	4	"45,342"	"40,933 "	"4,409"	9.7	Aug-12
129	4	"45,386"	"41,017 "	"4,369"	9.6	Sep-12
130	4	"45,894"	"41,563"	"4,331"	9.4	Oct-12
131	4	"46,007"	"41,708"	"4,299"	9.3	Nov-12
132	4	"45,972"	"41,696"	"4,276"	9.3	Dec-12
133	4	"45,478"	"41,525"	"3,953"	8.7	Jan-13
134	4	"45,576"	"41,808"	"3,768"	8.3	Feb-13
135	4	"45,380"	"41,734"	"3,646"	8	Mar-13
136	4	"45,298"	"41,940"	"3,358"	7.4	Apr-13
137	4	"45,129"	"41,725"	"3,404"	7.5	May-13
138	4	"45,803"	"41,980"	"3,823"	8.3	Jun-13
139	4	"46,123"	"42,343"	"3,780"	8.2	Jul-13
140	4	"45,250"	"41,535"	"3,715"	8.2	Aug-13
141	4	"45,092"	"41,391"	"3,701"	8.2	Sep-13
142	4	"45,345"	"41,536"	"3,809"	8.4	Oct-13
143	4	"45,336"	"41,897"	"3,439"	7.6	Nov-13
144	4	"45,256"	"41,939"	"3,317"	7.3	Dec-13
145	4	"45,206"	"41,609"	"3,597"	8	Jan-14
146	4	"45,402"	"41,846"	"3,556"	7.8	Feb-14
147	4	"45,215"	"41,845"	"3,370"	7.5	Mar-14
148	4	"45,199"	"42,102"	"3,097"	6.9	Apr-14
149	4	"45,192"	"42,156"	"3,036"	6.7	May-14
150	4	"46,066"	"42,722"	"3,344"	7.3	Jun-14
151	4	"46,533"	"43,160"	"3,373"	7.2	Jul-14
152	4	"45,956"	"42,552"	"3,404"	7.4	Aug-14
153	4	"46,248"	"42,811"	"3,437"	7.4	Sep-14
154	4	"46,584"	"43,262"	"3,322"	7.1	Oct-14
155	4	"46,547"	"43,285"	"3,262"	7	Nov-14
156	4	"46,396"	"43,220"	"3,176"	6.8	Dec-14
157	4	"46,670"	"43,259"	"3,411"	7.3	Jan-15
158	4	"46,891"	"43,511"	"3,380"	7.2	Feb-15
159	4	"46,588"	"43,502"	"3,086"	6.6	Mar-15
160	4	"46,503"	"43,730"	"2,773"	6	Apr-15
161	4	"46,485"	"43,609"	"2,876"	6.2	May-15
162	4	"47,257"	"44,125"	"3,132"	6.6	Jun-15
163	4	"47,729"	"44,747"	"2,982"	6.2	Jul-15
164	4	"47,035"	"44,089"	"2,946"	6.3	Aug-15
165	4	"46,886"	"43,999"	"2,887"	6.2	Sep-15
166	4	"47,343"	"44,471"	"2,872"	6.1	Oct-15
167	4	"47,273"	"44,528"	"2,745"	5.8	Nov-15
168	4	"47,256"	"44,616"	"2,640"	5.6	Dec-15
169	4	"47,307"	"44,481"	"2,826"	6	Jan-16
170	4	"47,629"	"44,842"	"2,787"	5.9	Feb-16
171	4	"47,525"	"44,965"	"2,560"	5.4	Mar-16
172	4	"47,541"	"45,242"	"2,299"	4.8	Apr-16
173	4	"47,278"	"44,955"	"2,323"	4.9	May-16
174	4	"47,965"	"45,196"	"2,769"	5.8	Jun-16
175	4	"48,219"	"45,502"	"2,717"	5.6	Jul-16
176	4	"47,492"	"44,779"	"2,713"	5.7	Aug-16
177	4	"47,532"	"44,845"	"2,687"	5.7	Sep-16
178	4	"48,013"	"45,392"	"2,621"	5.5	Oct-16
179	4	"47,952"	"45,489"	"2,463"	5.1	Nov-16
180	4	"47,718"	"45,391"	"2,327"	4.9	Dec-16
181	4	"48,326"	"45,657"	"2,669"	5.5	Jan-17
182	4	"48,546"	"45,853"	"2,693"	5.5	Feb-17
183	4	"48,215"	"45,784"	"2,431"	5	Mar-17
184	4	"48,303"	"46,014"	"2,289"	4.7	Apr-17
185	4	"48,618"	"46,280"	"2,338"	4.8	May-17
186	4	"49,128"	"46,345"	"2,783"	5.7	Jun-17
1	5	"32,149"	"29,040"	"3,109"	9.7	Jan-02
2	5	"32,470"	"29,259"	"3,211"	9.9	Feb-02
3	5	"32,280"	"29,353"	"2,927"	9.1	Mar-02
4	5	"32,180"	"29,518"	"2,662"	8.3	Apr-02
5	5	"32,061"	"29,207"	"2,855"	8.9	May-02
6	5	"32,855"	"29,550"	"3,305"	10.1	Jun-02
7	5	"33,356"	"30,184 "	"3,172"	9.5	Jul-02
8	5	"32,627"	"29,595 "	"3,032"	9.3	Aug-02
9	5	"32,082"	"29,295 "	"2,787"	8.7	Sep-02
10	5	"31,864"	"29,111"	"2,753"	8.6	Oct-02
11	5	"31,899"	"29,001"	"2,897"	9.1	Nov-02
12	5	"31,957"	"28,978"	"2,979"	9.3	Dec-02
13	5	"31,912"	"28,898"	"3,013"	9.4	Jan-03
14	5	"32,456"	"29,167"	"3,289"	10.1	Feb-03
15	5	"32,325"	"29,394"	"2,931"	9.1	Mar-03
16	5	"32,431"	"29,404"	"3,027"	9.3	Apr-03
17	5	"32,099"	"29,333"	"2,766"	8.6	May-03
18	5	"33,387"	"29,745"	"3,642"	10.9	Jun-03
19	5	"33,523"	"30,204 "	"3,319"	9.9	Jul-03
20	5	"33,062"	"29,554 "	"3,508"	10.6	Aug-03
21	5	"32,049"	"29,366 "	"2,683"	8.4	Sep-03
22	5	"32,705"	"29,509"	"3,196"	9.8	Oct-03
23	5	"32,430"	"29,354"	"3,076"	9.5	Nov-03
24	5	"31,970"	"29,084"	"2,886"	9	Dec-03
25	5	"32,341"	"29,183"	"3,158"	9.8	Jan-04
26	5	"32,733"	"29,562"	"3,171"	9.7	Feb-04
27	5	"32,918"	"29,478"	"3,440"	10.4	Mar-04
28	5	"32,666"	"29,573"	"3,093"	9.5	Apr-04
29	5	"32,501"	"29,323"	"3,178"	9.8	May-04
30	5	"33,289"	"29,721"	"3,568"	10.7	Jun-04
31	5	"34,022"	"30,129 "	"3,892"	11.4	Jul-04
32	5	"33,373"	"30,064 "	"3,309"	9.9	Aug-04
33	5	"33,081"	"29,810 "	"3,271"	9.9	Sep-04
34	5	"33,368"	"29,961"	"3,407"	10.2	Oct-04
35	5	"33,420"	"29,943"	"3,476"	10.4	Nov-04
36	5	"33,589"	"30,024"	"3,566"	10.6	Dec-04
37	5	"33,307"	"30,137"	"3,170"	9.5	Jan-05
38	5	"33,922"	"30,445"	"3,477"	10.3	Feb-05
39	5	"33,733"	"30,535"	"3,198"	9.5	Mar-05
40	5	"33,593"	"30,728"	"2,865"	8.5	Apr-05
41	5	"33,622"	"30,411"	"3,211"	9.6	May-05
42	5	"34,104"	"30,898"	"3,205"	9.4	Jun-05
43	5	"34,609"	"31,636 "	"2,973"	8.6	Jul-05
44	5	"34,154"	"31,311 "	"2,843"	8.3	Aug-05
45	5	"33,601"	"30,879 "	"2,722"	8.1	Sep-05
46	5	"33,577"	"30,864"	"2,714"	8.1	Oct-05
47	5	"33,476"	"30,723"	"2,754"	8.2	Nov-05
48	5	"33,562"	"30,839"	"2,722"	8.1	Dec-05
49	5	"33,308"	"30,719"	"2,588"	7.8	Jan-06
50	5	"33,632"	"30,968"	"2,664"	7.9	Feb-06
51	5	"33,509"	"30,925"	"2,584"	7.7	Mar-06
52	5	"33,316"	"30,845"	"2,471"	7.4	Apr-06
53	5	"33,677"	"31,001"	"2,676"	7.9	May-06
54	5	"34,499"	"31,716"	"2,783"	8.1	Jun-06
55	5	"35,000"	"31,989 "	"3,011"	8.6	Jul-06
56	5	"34,355"	"31,547 "	"2,807"	8.2	Aug-06
57	5	"33,860"	"31,197 "	"2,663"	7.9	Sep-06
58	5	"34,163"	"31,709"	"2,454"	7.2	Oct-06
59	5	"34,108"	"31,576"	"2,532"	7.4	Nov-06
60	5	"34,285"	"31,622"	"2,664"	7.8	Dec-06
61	5	"33,878"	"31,132"	"2,746"	8.1	Jan-07
62	5	"34,059"	"31,500"	"2,560"	7.5	Feb-07
63	5	"34,044"	"31,625"	"2,419"	7.1	Mar-07
64	5	"33,977"	"31,680"	"2,297"	6.8	Apr-07
65	5	"33,966"	"31,533"	"2,433"	7.2	May-07
66	5	"34,351"	"31,654"	"2,697"	7.9	Jun-07
67	5	"35,000"	"32,224 "	"2,776"	7.9	Jul-07
68	5	"34,448"	"31,867 "	"2,581"	7.5	Aug-07
69	5	"34,388"	"31,718 "	"2,670"	7.8	Sep-07
70	5	"34,418"	"31,952"	"2,466"	7.2	Oct-07
71	5	"34,681"	"32,076"	"2,604"	7.5	Nov-07
72	5	"34,547"	"31,960"	"2,586"	7.5	Dec-07
73	5	"34,729"	"31,766"	"2,963"	8.5	Jan-08
74	5	"34,654"	"32,091"	"2,564"	7.4	Feb-08
75	5	"35,037"	"32,185"	"2,851"	8.1	Mar-08
76	5	"34,731"	"32,373"	"2,357"	6.8	Apr-08
77	5	"35,086"	"32,144"	"2,942"	8.4	May-08
78	5	"35,545"	"32,380"	"3,165"	8.9	Jun-08
79	5	"36,390"	"32,988 "	"3,402"	9.3	Jul-08
80	5	"36,037"	"32,691 "	"3,347"	9.3	Aug-08
81	5	"35,556"	"32,201 "	"3,355"	9.4	Sep-08
82	5	"35,341"	"31,917"	"3,424"	9.7	Oct-08
83	5	"35,373"	"31,673"	"3,699"	10.5	Nov-08
84	5	"35,312"	"31,443"	"3,869"	11	Dec-08
85	5	"35,515"	"31,343"	"4,172"	11.7	Jan-09
86	5	"35,744"	"31,399"	"4,345"	12.2	Feb-09
87	5	"35,251"	"31,142"	"4,108"	11.7	Mar-09
88	5	"34,982"	"31,034"	"3,948"	11.3	Apr-09
89	5	"35,557"	"30,970"	"4,586"	12.9	May-09
90	5	"36,333"	"31,313"	"5,020"	13.8	Jun-09
91	5	"36,729"	"32,020 "	"4,709"	12.8	Jul-09
92	5	"36,187"	"31,266 "	"4,921"	13.6	Aug-09
93	5	"35,890"	"30,870 "	"5,020"	14	Sep-09
94	5	"36,121"	"30,936"	"5,185"	14.4	Oct-09
95	5	"36,134"	"31,158"	"4,976"	13.8	Nov-09
96	5	"36,189"	"31,115"	"5,074"	14	Dec-09
97	5	"38,806"	"32,758"	"6,048"	15.6	Jan-10
98	5	"38,835"	"32,945"	"5,890"	15.2	Feb-10
99	5	"38,885"	"33,179"	"5,706"	14.7	Mar-10
100	5	"38,901"	"33,665"	"5,236"	13.5	Apr-10
101	5	"39,207"	"33,801"	"5,406"	13.8	May-10
102	5	"40,051"	"34,174"	"5,877"	14.7	Jun-10
103	5	"40,424"	"34,539 "	"5,885"	14.6	Jul-10
104	5	"39,253"	"33,582 "	"5,671"	14.4	Aug-10
105	5	"39,112"	"33,462 "	"5,650"	14.4	Sep-10
106	5	"39,202"	"33,541"	"5,661"	14.4	Oct-10
107	5	"39,276"	"33,572"	"5,704"	14.5	Nov-10
108	5	"39,178"	"33,571"	"5,607"	14.3	Dec-10
109	5	"39,648"	"33,595"	"6,053"	15.3	Jan-11
110	5	"39,992"	"33,856"	"6,136"	15.3	Feb-11
111	5	"39,786"	"33,694"	"6,092"	15.3	Mar-11
112	5	"39,620"	"33,751"	"5,869"	14.8	Apr-11
113	5	"39,552"	"33,399"	"6,153"	15.6	May-11
114	5	"40,479"	"33,763"	"6,716"	16.6	Jun-11
115	5	"40,936"	"34,235 "	"6,701"	16.4	Jul-11
116	5	"40,151"	"33,705 "	"6,446"	16.1	Aug-11
117	5	"39,966"	"33,622 "	"6,344"	15.9	Sep-11
118	5	"39,855"	"33,652"	"6,203"	15.6	
119	5	"39,854"	"33,755"	"6,099"	15.3	Nov-11
120	5	"39,844"	"33,901"	"5,943"	14.9	Dec-11
121	5	"40,208"	"33,989"	"6,219"	15.5	Jan-12
122	5	"40,603"	"34,433"	"6,170"	15.2	Feb-12
123	5	"40,508"	"34,660"	"5,848"	14.4	Mar-12
124	5	"40,327"	"34,950"	"5,377"	13.3	Apr-12
125	5	"40,621"	"35,189"	"5,432"	13.4	May-12
126	5	"41,705"	"35,812"	"5,893"	14.1	Jun-12
127	5	"42,139"	"36,269 "	"5,870"	13.9	Jul-12
128	5	"41,641"	"35,851 "	"5,790"	13.9	Aug-12
129	5	"41,662"	"35,925 "	"5,737"	13.8	Sep-12
130	5	"42,091"	"36,403"	"5,688"	13.5	Oct-12
131	5	"42,176"	"36,530"	"5,646"	13.4	Nov-12
132	5	"42,135"	"36,520"	"5,615"	13.3	Dec-12
133	5	"40,945"	"36,369"	"4,576"	11.2	Jan-13
134	5	"41,218"	"36,617"	"4,601"	11.2	Feb-13
135	5	"40,968"	"36,552"	"4,416"	10.8	Mar-13
136	5	"40,870"	"36,733"	"4,137"	10.1	Apr-13
137	5	"40,735"	"36,545"	"4,190"	10.3	May-13
138	5	"41,354"	"36,768"	"4,586"	11.1	Jun-13
139	5	"41,767"	"37,086"	"4,681"	11.2	Jul-13
140	5	"41,005"	"36,378"	"4,627"	11.3	Aug-13
141	5	"40,832"	"36,252"	"4,580"	11.2	Sep-13
142	5	"40,999"	"36,379"	"4,620"	11.3	Oct-13
