202,Materials used in war memorials,Social policy,1957,§ 47-2005(16),$0,$0,$0,minimal
203,Non-profit (501(c)(4)) organizations,Social policy,1987,§ 47-2005(22),"$37,890","$39,482","$41,061","$42,580"
204,Semi-public institutions,Social policy,1949,§ 47-2005(3),"$57,412","$59,823","$62,216","$64,518"
205,Miscellaneous,Tax administration and equity,1949,§ 47-2005,no estimate,no estimate,no estimate,no estimate
206,Public utility companies,Tax administration and equity,1949,§ 47-2005(5),"$83,945","$87,470","$90,969","$94,335"
207,State and local governments,Tax administration and equity,1949,§ 47-2005(2),minimal,minimal,minimal,minimal
208,Valet parking services,Transportation,2002,§ 47-2001(n)(1)(L)(iv-I),$256,$268,$281,$292
"",,,,,,,,
"",,,,,,,,
D.C.,NSURANCE PREMIUMS TAX,,,,,,,
"",,,,,,,,
Insurance Premium Tax Credit,,,,,,,,
"",,,,,,,,
209,"Certified capital investment by insurancecompanies",Economic development,2004,§ 31-5233,"$1,902","$4,722",$0,$0
"",,,,,,,,
"",,,,,,,,
D.C. PERSONAL PROPERTY TAX,,,,,,,,
"",,,,,,,,
Personal Property Tax Exemptions,,,,,,,,
"",,,,,,,,
210,Digital audio radio satellite companies,Economic development,2000,§ 47-1508(a)(8),no estimate,no estimate,no estimate,no estimate
211,Qualified high-technology companies,Economic development,2001,§ 47-1508(a)(10),$108,$112,$115,$119
212,Qualified supermarkets,Economic development,2000,§ 47-1508(a)(9),$319,$322,$332,$343
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,Enacted,D.C Code Section,FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
"",,,,,,,,
Personal Property Tax Exemptions (cont.),,,,,,,,
"",,,,,,,,
213,Cogeneration Systems,Natural resources and environment,2013,§ 47-1508(a)(12),$0,"$1,370","$1,370","$1,370"
214,Non-profit organizations,Social policy,1902,§ 47-1508(a)(1),$6,$6,$6,$6
215,Motor vehicles and trailers,Transportation,1954,§ 47-1508(a)(3),"$2,831","$2,859","$2,888","$2,914"
216,"Public utility and toll telecommunicationsproviders",Tax administration and equity,2001,§ 47-1508(a)(3A),$10,$10,$10,$10
217,Wireless telecommunication companies,Tax administration and equity,1998,§ 47-1508(a)(7),minimal,minimal,minimal,minimal
"",,,,,,,,
"",,,,,,,,
D.C.  LOCAL TAX EXPENDITURES (unknown if used),,,,,,,,
"",,,,,,,,
Local Income Tax Credits,,,,,,,,
"",,,,,,,,
218,"Paid leave for organ or bone marrowdonors",Health,2006,"§ 47-1807.08 and § 47-1808.08",no estimate,no estimate,no estimate,no estimate
219,Employer-assisted home purchases,Housing,2002,"§ 47-1807.07 and § 47-1808.07",minimal,minimal,minimal,minimal
"",,,,,,,,
D.C. UNUSED  LOCAL TAX EXPENDITURES (no one is taking them),,,,,,,,
"",,,,,,,,
Unused Local Income Tax Credits,,,,,,,,
"",,,,,,,,
220,"Economic development zone incentives forbusinesses",Economic development,1988,"§ 6-1501, § 6-1502, § 6-1504, and § 47-1807.06",$0,$0,$0,$0
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,"YearEnacted",D.C Code Section,FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
Unused Local Real Property Tax Abatements,,,,,,,,
"",,,,,,,,
221,Improvements to low-income housing,Housing,2002,§ 47-866,$0,$0,$0,$0
222,"Preservation of section 8 housing inqualified areas",Housing,2002,§ 47-865,$0,$0,$0,$0
223,Single-room-occupancy housing,Housing,1994,§ 42-3508.06,$0,$0,$0,$0
224,Vacant rental housing,Housing,1985,§ 42-3508.02,$0,$0,$0,$0
"",,,,,,,,
Unused Local Real Property Tax Exemptions,,,,,,,,
"",,,,,,,,
225,Resident management corporations,Housing,1992,§ 47-1002(24),$0,$0,$0,$0
"",,,,,,,,
"",,,,,,,,
"Unused Local Real Property Tax Deferrals, Rebates, and Multiple Categories",,,,,,,,
"",,,,,,,,
226,Economic development zone incentives,Economic development,1988,§ 6-1501 - § 6-1503,$0,$0,$0,$0
227,Homeowners in enterprise zones,Housing,2002,§ 47-858.01 - § 47-858.05,$0,$0,$0,$0
"",,,,,,,,
Unused Local Personal Property Tax Exemptions,,,,,,,,
"",,,,,,,,
228,Solar energy systems,Natural resources and environment,2013,§ 47-1508(a)(11),$0,$0,$0,$0
229,"Works of art lent to the National Gallery ofArt by non-residents",Tax administration and equity,1950,§ 47-1508(a)(2),$0,$0,$0,$0
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,"YearEnacted",D.C Code Section,FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
"",,,,,,,,
D.C. UNUSED  LOCAL TAX EXPENDITURES (implementing regulations not written),,,,,,,,
"",,,,,,,,
Unused Local Income Tax Subtraction,,,,,,,,
"",,,,,,,,
230,"Environmental savings accountcontributions and earnings",Natural resources and environment,2001,§  8-637.03,$0,$0,$0,$0
"",,,,,,,,
Unused Local Income Tax Credits,,,,,,,,
"",,,,,,,,
231,Brownfield revitalization and cleanup,Natural resources and environment,2001,§ 8-637.01,$0,$0,$0,$0
"",,,,,,,,
Unused Local Real Property Tax Credits,,,,,,,,
"",,,,,,,,
232,Brownfield revitalization and cleanup,Natural resources and environment,2001,§ 8-637.01,$0,$0,$0,$0
"#",Name of Development,Program Area,"YearEnacted",D.C Code Section,"RevenueForgone FY2016 ($ inthousands)"
"",,,,,
"",,,,,
D.C. Individual Real Property Tax Abatements,,,,,
"",,,,,
233,"14W And The YMCA Anthony BowenProject",Economic development,2009,§ 47-4627,$664
234,"Third & H Streets, NE Development Project",Economic development,2010,§ 47-4634,$475
235,2 M Street NE,Housing,2011,§ 47-4648,$508
236,Georgia Commons,Housing,2008,§ 47-4610,$183
237,"2323 Pennsylvania Avenue, S.E.,redevelopment project.",Housing,2010,§ 47-4638,$95
238,"Parkside Parcel E And J Mixed-incomeApartments",Housing,2013,§ 47-4658,$149
239,The Heights on Georgia Avenue,Housing,2010,§ 47-4628,$114
240,Eckington One,Housing,2009,§ 47-1075,"$1,232"
241,"Park Place at Petworth, Highland Park",Housing,2010,§ 47-4629,$787
242,The Pew Charitable Trusts,Social policy,2010,§ 47-4637,"$1,001"
243,"800 Kenilworth Avenue NortheastRedevelopment Project",Housing,2011,§ 47-4643,$146
244,Central Union Mission,Housing,2011,§ 47-4651,$0
245,Campbell Heights Project,Housing,2010,§ 47-4632,$222
246,Golden Rule Rehabilitation Project,Housing,2008,§ 47-1079,$378
""
""
""
""
"#",Name of Development,Program Area,"YearEnacted",D.C Code Section,"RevenueForgone FY2016 ($ inthousands)"
"",,,,,
"",,,,,
D.C. Individual Real Property Tax Abatements (cont.),,,,,
"",,,,,
247,"Douglas Knoll, Golden Rule, 1728 W StreetAnd Wagner",Housing,2005,§ 47-1065,"$1,403"
248,"King Towers Residential Housing RentalProject",Housing,2009,§ 47-4639,$220
"",,,,,
D.C. Individual Real Property Tax Exemptions,,,,,
"",,,,,
249,Parkside Terrace Development Project,Housing,2006,§ 47-4607,$178
250,St Martin's Apartments LP,Housing,2009,§ 47-4620,$447
251,View 14 Investments LLC,Housing,2010,§ 47-4623,$830
252,"The Elizabeth Ministry, Inc.",Housing,2013,§ 47-4657,$15
253,"Beulah Baptist Church, Dix Street CorridorSenior Housing LP",Housing,2011,§ 47-4654,$55
254,4427 Hayes Street NE,Housing,2011,§ 47-4649,$19
255,St. Paul Senior Living At Wayne Place,Housing,2011,§ 47-4642,$50
256,"Allen Chapel AME Senior ResidentialRental Project",Housing,2011,§ 47-4641,$15
257,Kelsey Gardens Redevelopment Project,Housing,2009,§ 47-4625,"$1,247"
258,"Carver 2000 Low-income And SeniorHousing Project",Housing,2005,§ 47-4605,$150
259,"Affordable Housing Opportunitites, Inc.Project",Housing,2010,§ 47-1084,$40
260,Dix Street Corridor Senior Housing LP,Housing,2011,§ 47-4654,$10
"#",Name of Development,Program Area,"YearEnacted",D.C Code Section,"RevenueForgone FY2016 ($ inthousands)"
"",,,,,
"",,,,,
D.C. Individual Real Property Tax Exemptions (cont.),,,,,
"",,,,,
261,"SOME, Inc. & Affiliates",Housing,2008,§ 47-1078,$138
262,Jubilee Housing Residential Rental Project,Housing,2010,§ 47-4633,$235
263,Israel Senior Residences,Housing,2013,§ 47-4659,$21
264,Wayne Place Senior Living,Housing,,,$50
265,The Studio Theatre,Housing,2009,§ 47-1082,$24
266,Jenkins Row Development Project,Housing,2005,§ 47-4603,$340
267,United House Of Prayer For All People,Social Policy,2011,§ 47-1086,$159
268,Tregaron Conservancy,Housing,2009,47-1077,$6
"",,,,,
"D.C. Individual Real Property Tax Deferrals, Rebates, and Multiple Categories",,,,,
"",,,,,
269,The Urban Institute,Social policy,2010,§ 47–4624,"$1,790"
"",,,,,
D.C. Individual Real Property Tax Future Tax Expenditures and Rebates,,,,,
"",,,,,
270,Soccer Stadium,Economic development,2015,§ 47-4663,"$76,086"
271,"SeVerna, LLC",Housing,2014,§ 47-1095,"$1,738"
